time,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,temperature,label
1741001992.8652115,2.528277,6.560112,-1.491588,-2.139694,1.370683,0.285648,35.94471,lying
1741001992.9227498,5.164293,7.584831,3.560178,-0.907305,1.24358,0.562236,35.92118,lying
1741001992.9998753,4.297592,8.379706,2.432509,-1.103688,1.046931,0.018919,35.92706,lying
1741001993.0539122,4.307169,6.663064,4.735731,-1.042135,0.803917,0.217167,35.93588,lying
1741001993.1078131,5.480328,5.681441,4.972757,-1.080239,0.415681,0.149485,35.92118,lying
1741001993.1626735,3.790021,6.095637,5.430049,-1.281152,0.382374,0.141225,35.91529,lying
1741001993.218083,4.922479,4.93445,5.8634,-1.237185,0.195317,0.392766,35.92706,lying
1741001993.2786288,4.560954,5.284003,6.050148,-1.166306,0.237685,0.333611,35.91529,lying
1741001993.3328574,4.821922,5.420473,7.036559,-1.033075,0.620591,0.631516,35.90353,lying
1741001993.3902311,4.733337,2.750938,5.530606,-1.116211,0.651501,0.348266,35.90353,lying
1741001993.4454138,5.734113,5.446809,7.704541,-1.530294,1.182294,0.657096,35.91824,lying
1741001993.5014203,6.64391,1.690306,8.815451,-1.202279,1.096493,0.201446,35.90353,lying
1741001993.5662644,3.974375,0.988805,9.454702,-1.727743,1.561737,0.50468,35.93,lying
1741001993.6232324,1.508347,-0.304064,9.555259,-1.179096,1.11328,0.733038,35.89471,lying
1741001993.6838696,1.565808,-1.790863,10.47942,-1.28275,1.034141,1.143124,35.88588,lying
1741001993.7413464,1.824382,-0.37589,9.14585,-1.015755,1.224395,0.678413,35.89765,lying
1741001993.805874,1.517924,-0.241814,10.27112,-0.258202,1.410652,0.301103,35.88882,lying
1741001993.8649137,-1.328782,-1.719037,10.23761,-0.177997,0.874263,0.571296,35.88882,lying
1741001993.929291,-0.328006,-1.594538,11.25275,-0.454851,0.921161,0.449789,35.88588,lying
1741001993.9871745,-4.881777,-2.667141,7.793127,-0.217433,0.007461,0.144156,35.88882,lying
1741001994.048171,-1.302446,-2.317587,9.706094,-0.314159,-0.201446,0.143357,35.88,lying
1741001994.1189716,-0.785298,-2.003947,9.31105,0.0874,-0.002132,-0.279519,35.88882,lying
1741001994.1814632,-1.872266,-1.745373,9.023746,0.036772,0.118842,-0.214502,35.90941,lying
1741001994.2435904,-0.725443,-2.176329,9.64145,-0.13856,0.311495,-0.192119,35.87412,lying

1741002779.3474486,-8.315063,0.399832,0.208296,0.027179,0.326949,-0.171335,36.31823,lying
1741002779.4026282,-7.335834,0.418985,-0.031125,0.037305,0.594478,-0.302701,36.31529,lying
1741002779.457885,-6.28478,-0.129287,-0.380678,-0.011458,0.822037,-0.30057,36.32412,lying
1741002779.5208478,-5.291186,-0.529119,-0.545878,-0.053292,0.951005,-0.379975,36.33588,lying
1741002779.579814,-5.872977,-0.562637,-0.624887,-0.017054,1.150319,-0.285381,36.34765,lying
1741002779.633765,-4.795586,-0.416591,-1.580173,0.006129,1.316325,-0.438064,36.32706,lying
1741002779.6873374,-4.711789,-0.823605,-2.904167,0.130833,1.46208,-0.497485,36.33588,lying
1741002779.748243,-5.746084,-1.431733,-4.505888,0.379176,1.498585,-0.398628,36.31529,lying
1741002779.8060374,-7.575254,-1.584962,-5.212177,0.620325,1.533492,-0.472704,36.32412,lying
1741002779.8600073,-7.771579,-1.565808,-7.290344,0.654698,1.27449,-0.303501,36.30059,lying
1741002779.9149754,-10.04607,-2.853889,-7.429208,0.539054,0.917164,-0.245945,36.30059,lying
1741002779.969944,-9.674969,-2.822764,-7.93199,0.574493,0.236086,-0.326417,36.32117,lying
1741002780.0269115,-10.1993,-2.557007,-7.675811,0.502815,-0.29977,-0.024248,36.30353,lying
1741002780.083388,-9.622296,-3.131616,-6.208165,0.588616,-0.788196,-0.316025,36.28294,lying
1741002780.137347,-9.035717,-4.297592,-7.395689,0.733305,-0.853479,0.201179,36.2947,lying
1741002780.1937556,-10.87207,-4.086902,-5.343858,0.670953,-1.142591,0.614729,36.29765,lying
1741002780.2487442,-9.952697,-1.982399,-5.870583,0.168138,-1.515638,0.322153,36.30941,lying
1741002780.3056908,-10.10353,-5.125986,-4.493917,-0.183593,-1.216934,0.791927,36.29765,lying
1741002780.3656564,-9.40203,-2.442086,-3.687071,-0.342404,-1.216401,0.862806,36.2947,lying
1741002780.420625,-7.833828,-5.015852,-6.469133,-0.67868,-1.092763,1.314459,36.28294,lying
1741002780.492293,-10.74518,3.363853,-0.203507,-0.054891,-1.03947,0.924358,36.29765,lying
1741002780.5456963,-8.640674,0.035913,-1.656788,-0.581421,-1.110083,0.619525,36.28588,lying
1741002780.6033142,-6.205771,-2.293645,-0.203507,-1.203345,-1.434368,0.222763,36.2947,lying
1741002780.6792696,-11.32457,0.718261,1.980005,-1.166839,-1.181761,0.492689,36.30353,lying
1741002780.7452328,-8.327033,0.052672,2.554613,-1.015489,-1.702429,0.591547,36.31235,lying
1741002780.810195,-7.050924,-0.703895,3.766079,-0.267528,-1.229724,0.657629,36.30353,lying
1741002780.879157,-8.559271,1.290475,4.070143,0.230757,-0.881724,0.500683,36.27412,lying
1741002780.941121,-7.807492,1.63524,4.247314,0.183593,-0.874263,0.251274,36.28,lying
1741002781.0009913,-7.536947,1.661576,4.601655,0.223029,-0.868668,0.417813,36.30647,lying
1741002781.073429,-6.646304,2.367866,5.161899,0.130034,-0.99124,0.423675,36.30353,lying
1741002781.1431615,-6.0286,2.20506,5.386954,0.002132,-0.884389,0.421277,36.2947,lying
1741002781.2228334,-6.390124,2.602497,6.210559,0.039703,-0.957666,0.532392,36.29765,lying
1741002781.2855742,-5.477933,2.829947,6.533776,-0.099657,-1.197216,0.461247,36.29176,lying
1741002781.3945124,-4.280833,2.422932,7.153875,-0.124172,-1.316325,0.519868,36.2947,lying
1741002781.453479,-4.029441,3.222595,8.918402,-0.074876,-1.242248,0.504147,36.28882,lying
1741002781.5108707,-3.696647,3.801992,8.042124,-0.01359,-1.297406,0.725844,36.30353,lying
1741002781.566489,-2.238579,2.77488,8.836999,-0.151617,-1.397862,0.348533,36.28882,lying
1741002781.6224556,-0.876278,3.617639,9.684546,-0.228358,-1.007495,0.277387,36.27412,lying
1741002781.6764238,-1.527501,2.631228,9.112331,-0.199314,-0.976585,0.219299,36.27706,lying
1741002781.759377,0.361524,4.230555,8.231265,-0.456717,-0.808714,-0.014123,36.26823,lying
1741002781.8413591,0.632069,2.164358,8.62152,-0.583819,-0.750358,0.091397,36.28588,lying
1741002781.9173136,0.596156,2.267309,9.263166,-0.553709,-0.686407,0.215302,36.27118,lying
1741002781.979278,1.113304,1.795651,9.878476,-0.455384,-0.538254,0.252873,36.28588,lying
1741002782.0442393,1.35033,1.055843,9.038112,-0.348,-0.579822,0.110315,36.28588,lying
1741002782.0985045,1.960851,1.194707,9.856929,-0.305366,-0.332012,0.104453,36.27412,lying
1741002782.1564786,1.766921,0.723049,9.167398,-0.198248,-0.348266,-0.033841,36.29176,lying
1741002782.222439,1.927332,0.773327,9.457097,-0.097792,-0.237685,0.033841,36.28,lying
1741002782.2791696,2.298434,0.567426,9.330204,-0.053559,-0.232089,-0.023449,36.27118,lying

1741003041.6853356,9.639056,0.526724,2.839523,0.089265,-0.420478,-0.0866,36.13294,lying
